iters,ssim,psnr,rmse
1000+500,0.9670635918665595,21.955630779266357,0.081342466
10000+5000,0.9731793198876821,24.193919897079468,0.064371124
11000+5500,0.9735957308228211,24.2449152469635,0.06281637
12000+6000,0.9733146784848922,24.089475870132446,0.06425005
13000+6500,0.9735176887253546,24.092291593551636,0.064258486
14000+7000,0.9733403365304818,23.92368197441101,0.06582169
15000+7500,0.9738662407389563,24.20108199119568,0.063322246
16000+8000,0.9733620801346571,24.045016765594482,0.065530285
17000+8500,0.9733612103506094,24.03427004814148,0.06459217
18000+9000,0.9731899138567066,24.094609022140503,0.0650137
19000+9500,0.9736578450403075,24.148794412612915,0.06358878
2000+1000,0.9703596759677711,23.056784868240356,0.07334769
20000+10000,0.973204660414092,24.15115237236023,0.06422173
3000+1500,0.9722270206222283,23.46497416496277,0.07017765
30000+15000,0.9731360595050875,24.188508987426758,0.06297824
4000+2000,0.9721963393445969,23.726726770401,0.06819357
40000+20000,0.9730631563100812,24.20473575592041,0.0638655
5000+2500,0.9730151022869289,23.936995267868042,0.0663307
50000+25000,0.9730563975898607,24.133949279785156,0.064477324
6000+3000,0.9722314628036565,23.60823631286621,0.06807248
7000+3500,0.9731305995151485,24.059698581695557,0.06537853
8000+4000,0.9735280654934497,24.13710117340088,0.065708734
9000+4500,0.9729593119271231,24.13547992706299,0.06480438
