iters,ssim,psnr,rmse
1000+500,0.9892472918936992,17.688642740249634,0.11242432
10000+5000,0.9908972921144505,21.145122051239014,0.07456282
11000+5500,0.9910347597159119,21.26344084739685,0.073954575
12000+6000,0.9910179840078619,21.540533304214478,0.07273479
13000+6500,0.9911435552378729,21.301287412643433,0.073492855
14000+7000,0.9909961267707948,21.361453533172607,0.07466389
15000+7500,0.9910214122524112,21.598771810531616,0.075721174
16000+8000,0.9913491090802736,21.544450521469116,0.07142295
17000+8500,0.9911092007557509,21.533124446868896,0.07500237
18000+9000,0.9912234569180948,21.512783765792847,0.07410179
19000+9500,0.9910927740289984,21.672300100326538,0.07409623
2000+1000,0.9900130007292838,18.809685111045837,0.09578881
20000+10000,0.991159192663913,21.49885654449463,0.07349041
3000+1500,0.9904665864032707,19.717599153518677,0.084691465
30000+15000,0.9912726936013644,21.89130425453186,0.07301073
4000+2000,0.9906233789257481,20.243085622787476,0.0798263
40000+20000,0.9909955518186856,21.82913899421692,0.074654534
5000+2500,0.9906104158811234,20.68081259727478,0.078311116
50000+25000,0.9908216906296738,21.654361486434937,0.077328786
6000+3000,0.9906032710307972,20.404052734375,0.07690934
7000+3500,0.9907004898058134,20.67505717277527,0.07810317
8000+4000,0.9908534960504668,20.995091199874878,0.075996116
9000+4500,0.9910255511595598,21.099306344985962,0.07500553
